# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   25.38538539    0.00075817
   25.43543544    0.00075141
   25.48548549    0.00074460
   25.53553554    0.00073769
   25.58558559    0.00073065
   25.63563564    0.00072345
   25.68568569    0.00071605
   25.73573574    0.00070845
   25.78578579    0.00070063
   25.83583584    0.00069260
   25.88588589    0.00068438
   25.93593594    0.00067598
   25.98598599    0.00066746
   26.03603604    0.00065884
   26.08608609    0.00065018
   26.13613614    0.00064153
   26.18618619    0.00063295
   26.23623624    0.00062448
   26.28628629    0.00061618
   26.33633634    0.00060808
   26.38638639    0.00060022
   26.43643644    0.00059263
   26.48648649    0.00058534
   26.53653654    0.00057835
   26.58658659    0.00057168
   26.63663664    0.00056532
   26.68668669    0.00055926
   26.73673674    0.00055349
   26.78678679    0.00054798
   26.83683684    0.00054270
   26.88688689    0.00053764
   26.93693694    0.00053273
   26.98698699    0.00052796
   27.03703704    0.00052328
   27.08708709    0.00051866
   27.13713714    0.00051405
   27.18718719    0.00050943
   27.23723724    0.00050477
   27.28728729    0.00050006
   27.33733734    0.00049527
   27.38738739    0.00049041
   27.43743744    0.00048548
   27.48748749    0.00048047
   27.53753754    0.00047541
   27.58758759    0.00047030
   27.63763764    0.00046517
   27.68768769    0.00046004
   27.73773774    0.00045493
   27.78778779    0.00044986
   27.83783784    0.00044485
   27.88788789    0.00043992
   27.93793794    0.00043508
   27.98798799    0.00043034
   28.03803804    0.00042571
   28.08808809    0.00042119
   28.13813814    0.00041679
   28.18818819    0.00041250
   28.23823824    0.00040832
   28.28828829    0.00040423
   28.33833834    0.00040022
   28.38838839    0.00039629
   28.43843844    0.00039242
   28.48848849    0.00038859
   28.53853854    0.00038481
   28.58858859    0.00038105
   28.63863864    0.00037732
   28.68868869    0.00037360
   28.73873874    0.00036989
   28.78878879    0.00036621
   28.83883884    0.00036254
   28.88888889    0.00035889
   28.93893894    0.00035527
   28.98898899    0.00035168
   29.03903904    0.00034813
   29.08908909    0.00034463
   29.13913914    0.00034117
   29.18918919    0.00033776
   29.23923924    0.00033441
   29.28928929    0.00033111
   29.33933934    0.00032787
   29.38938939    0.00032467
   29.43943944    0.00032153
   29.48948949    0.00031842
   29.53953954    0.00031535
   29.58958959    0.00031232
   29.63963964    0.00030930
   29.68968969    0.00030630
   29.73973974    0.00030330
   29.78978979    0.00030029
   29.83983984    0.00029727
   29.88988989    0.00029424
   29.93993994    0.00029118
   29.98998999    0.00028809
   30.04004004    0.00028496
   30.09009009    0.00028181
   30.14014014    0.00027863
   30.19019019    0.00027543
   30.24024024    0.00027221
   30.29029029    0.00026898
   30.34034034    0.00026574
   30.39039039    0.00026252
   30.44044044    0.00025931
   30.49049049    0.00025612
   30.54054054    0.00025296
   30.59059059    0.00024984
   30.64064064    0.00024676
   30.69069069    0.00024373
   30.74074074    0.00024075
   30.79079079    0.00023783
   30.84084084    0.00023495
   30.89089089    0.00023213
   30.94094094    0.00022936
   30.99099099    0.00022663
   31.04104104    0.00022396
   31.09109109    0.00022133
   31.14114114    0.00021873
   31.19119119    0.00021618
   31.24124124    0.00021366
   31.29129129    0.00021116
   31.34134134    0.00020870
   31.39139139    0.00020626
   31.44144144    0.00020383
   31.49149149    0.00020143
   31.54154154    0.00019904
   31.59159159    0.00019668
   31.64164164    0.00019432
   31.69169169    0.00019199
   31.74174174    0.00018967
   31.79179179    0.00018738
   31.84184184    0.00018510
   31.89189189    0.00018285
   31.94194194    0.00018063
   31.99199199    0.00017845
   32.04204204    0.00017629
   32.09209209    0.00017418
   32.14214214    0.00017210
   32.19219219    0.00017007
   32.24224224    0.00016809
   32.29229229    0.00016616
   32.34234234    0.00016427
   32.39239239    0.00016244
   32.44244244    0.00016066
   32.49249249    0.00015894
   32.54254254    0.00015727
   32.59259259    0.00015566
   32.64264264    0.00015411
   32.69269269    0.00015262
   32.74274274    0.00015118
   32.79279279    0.00014981
   32.84284284    0.00014849
   32.89289289    0.00014723
   32.94294294    0.00014603
   32.99299299    0.00014489
   33.04304304    0.00014381
   33.09309309    0.00014279
   33.14314314    0.00014182
   33.19319319    0.00014091
   33.24324324    0.00014006
   33.29329329    0.00013926
   33.34334334    0.00013851
   33.39339339    0.00013782
   33.44344344    0.00013717
   33.49349349    0.00013658
   33.54354354    0.00013603
   33.59359359    0.00013553
   33.64364364    0.00013507
   33.69369369    0.00013466
   33.74374374    0.00013429
   33.79379379    0.00013396
   33.84384384    0.00013366
   33.89389389    0.00013340
